"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"GP_C17",                                                 "I2C0_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C18",                                                 "I2C1_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C19",                                                 "I2C1_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C20",                                                 "UART2_RXD",                                                                             "n/a",                            "CNV_MFUART0_RXD",    "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C21",                                                 "UART2_TXD",                                                                             "n/a",                            "CNV_MFUART0_TXD",    "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C22",                                                 "UART2_RTS_N",                                                                           "n/a",                            "CNV_MFUART0_RTS_N",  "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_C23",                                                 "UART2_CTS_N",                                                                           "n/a",                            "CNV_MFUART0_CTS_N",  "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group D (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D00",                                                 "n/a",                                                                                   "BK_0",                           "SBK_0",              "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D01",                                                 "n/a",                                                                                   "BK_1",                           "SBK_1",              "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D02",                                                 "n/a",                                                                                   "BK_2",                           "SBK_2",              "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D03",                                                 "n/a",                                                                                   "BK_3",                           "SBK_3",              "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D04",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D05",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D06",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D07",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D08",                                                 "n/a",                                                                                   "GSPI2_SPI2_CS0_N",               "UART0A_RXD",         "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D09",                                                 "n/a",                                                                                   "GSPI2_CLK",                      "UART0A_TXD",         "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D10",                                                 "n/a",                                                                                   "GSPI2_MISO",                     "UART0A_RTS_N",       "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D11",                                                 "n/a",                                                                                   "GSPI2_MOSI",                     "UART0A_CTS_N",       "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D12",                                                 "n/a",                                                                                   "n/a",                            "I2C4B_SDA",          "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D13",                                                 "n/a",                                                                                   "n/a",                            "I2C4B_SCL",          "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D14",                                                 "n/a",                                                                                   "GSPI2_CS1_N",                    "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D15",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "CNV_WCEN",       "n/a",  "n/a",          "n/a",  "n/a",
"GP_D16",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D17",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D18",                                                 "AVS_I2S_MCLK",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D19",                                                 "CNV_MFUART2_RXD",                                                                       "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D20",                                                 "CNV_MFUART2_TXD",                                                                       "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D21",                                                 "CNV_PA_BLANKING",                                                                       "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D22",                                                 "I2C5_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_D23",                                                 "I2C5_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group E (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E00",                                                 "n/a",                                                                                   "IMGCLKOUT_0",                    "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_E01",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
